,text,cnpj,count
8306,../data/Buscas de palavras chaves/_Dispensa de licitação_/1687.txt,02.881.887/0001-64,1
8365,../data/Buscas de palavras chaves/_Dispensa de licitação_/1687.txt,51.260.743/0001-34,1
8366,../data/Buscas de palavras chaves/_Dispensa de licitação_/1687.txt,52.488.629/0008-66,1
8410,../data/Buscas de palavras chaves/_Dispensa de licitação_/169.txt,07.377.498/0001-64,1
8472,../data/Buscas de palavras chaves/_Dispensa de licitação_/169.txt,67.729.178/0001-91,1
8574,../data/Buscas de palavras chaves/_Dispensa de licitação_/1709.txt,03.718.824/0001-05,1
8614,../data/Buscas de palavras chaves/_Dispensa de licitação_/1720.txt,11.948.955/0001-97,1
8643,../data/Buscas de palavras chaves/_Dispensa de licitação_/1720.txt,27.614.605/0001-08,1
8688,../data/Buscas de palavras chaves/_Dispensa de licitação_/1721.txt,23.464.348/0001-08,1
8707,../data/Buscas de palavras chaves/_Dispensa de licitação_/1728.txt,01.107.391/0002-63,1
8723,../data/Buscas de palavras chaves/_Dispensa de licitação_/1731.txt,07.783.349/0001-97,1
8790,../data/Buscas de palavras chaves/_Dispensa de licitação_/1744.txt,13.227.038/0001-87,1
8835,../data/Buscas de palavras chaves/_Dispensa de licitação_/1753.txt,15.392.151/0001-67,1
8836,../data/Buscas de palavras chaves/_Dispensa de licitação_/1753.txt,20.748.496/0001-35,1
8837,../data/Buscas de palavras chaves/_Dispensa de licitação_/1753.txt,24.695.513/0001-03,1
8965,../data/Buscas de palavras chaves/_Dispensa de licitação_/1761.txt,92.975.341/0002-09,1
9001,../data/Buscas de palavras chaves/_Dispensa de licitação_/1771.txt,22.763.710/0001-22,1
9108,../data/Buscas de palavras chaves/_Dispensa de licitação_/1774.txt,25.265.954/0001-04,1
9126,../data/Buscas de palavras chaves/_Dispensa de licitação_/1779.txt,10.140.720/0001-26,1
9229,../data/Buscas de palavras chaves/_Dispensa de licitação_/1790.txt,50.722.537/2020-09,1
9430,../data/Buscas de palavras chaves/_Dispensa de licitação_/1805.txt,46.043.998/0001-04,1
9952,../data/Buscas de palavras chaves/_Dispensa de licitação_/1847.txt,02.091.365/0065-13,1
9962,../data/Buscas de palavras chaves/_Dispensa de licitação_/1847.txt,04.496.526/0001-29,1
10030,../data/Buscas de palavras chaves/_Dispensa de licitação_/1870.txt,00.057.747/9891-72,1
10093,../data/Buscas de palavras chaves/_Dispensa de licitação_/1876.txt,09.537.386/0001-10,1
10278,../data/Buscas de palavras chaves/_Dispensa de licitação_/189.txt,02.091.365/0065-13,1
10318,../data/Buscas de palavras chaves/_Dispensa de licitação_/189.txt,13.405.319/0031-49,1
10362,../data/Buscas de palavras chaves/_Dispensa de licitação_/189.txt,73.849.952/0009-24,1
10470,../data/Buscas de palavras chaves/_Dispensa de licitação_/19.txt,18.283.221/0001-42,2
10625,../data/Buscas de palavras chaves/_Dispensa de licitação_/1929.txt,01.026.798/0001-30,1
10626,../data/Buscas de palavras chaves/_Dispensa de licitação_/1929.txt,03.908.897/0001-73,1
10651,../data/Buscas de palavras chaves/_Dispensa de licitação_/1940.txt,05.134.513/0001-21,1
11303,../data/Buscas de palavras chaves/_Dispensa de licitação_/1943.txt,08.849.921/0001-56,1
11312,../data/Buscas de palavras chaves/_Dispensa de licitação_/1943.txt,10.571.872/0001-53,1
11324,../data/Buscas de palavras chaves/_Dispensa de licitação_/1943.txt,14.889.534/0001-06,1
11417,../data/Buscas de palavras chaves/_Dispensa de licitação_/1947.txt,15.790.788/0001-19,1
11470,../data/Buscas de palavras chaves/_Dispensa de licitação_/1959.txt,27.165.345/0001-90,1
11487,../data/Buscas de palavras chaves/_Dispensa de licitação_/1959.txt,39.315.211/0001-94,1
11558,../data/Buscas de palavras chaves/_Dispensa de licitação_/1961.txt,27.165.182/0001-21,1
11574,../data/Buscas de palavras chaves/_Dispensa de licitação_/1961.txt,39.315.211/0001-94,2
11652,../data/Buscas de palavras chaves/_Dispensa de licitação_/1979.txt,15.362.151/0001-57,1
11664,../data/Buscas de palavras chaves/_Dispensa de licitação_/1979.txt,21.993.497/0001-70,1
12263,../data/Buscas de palavras chaves/_Dispensa de licitação_/1984.txt,18.847.478/0001-66,1
12266,../data/Buscas de palavras chaves/_Dispensa de licitação_/1984.txt,32.225.338/0001-15,1
12268,../data/Buscas de palavras chaves/_Dispensa de licitação_/1984.txt,88.148.719/0001-61,2
12281,../data/Buscas de palavras chaves/_Dispensa de licitação_/1986.txt,11.615.369/0001-35,1
12308,../data/Buscas de palavras chaves/_Dispensa de licitação_/1987.txt,14.884.711/0001-45,2
12316,../data/Buscas de palavras chaves/_Dispensa de licitação_/1987.txt,27.165.182/0001-21,2
12361,../data/Buscas de palavras chaves/_Dispensa de licitação_/1998.txt,66.581.267/0001-83,1
12492,../data/Buscas de palavras chaves/_Dispensa de licitação_/2000.txt,04.198.994/0001-52,1
13418,../data/Buscas de palavras chaves/_Dispensa de licitação_/2016.txt,21.307.048/0001-30,1
13435,../data/Buscas de palavras chaves/_Dispensa de licitação_/2016.txt,28.845.457/0001-65,1
13464,../data/Buscas de palavras chaves/_Dispensa de licitação_/202.txt,33.014.559/0307-70,1
13576,../data/Buscas de palavras chaves/_Dispensa de licitação_/204.txt,14.884.711/0001-45,1
13730,../data/Buscas de palavras chaves/_Dispensa de licitação_/229.txt,00.740.969/0001-92,2
13801,../data/Buscas de palavras chaves/_Dispensa de licitação_/237.txt,10.942.831/0001-38,1
13822,../data/Buscas de palavras chaves/_Dispensa de licitação_/237.txt,26.726.117/0001-80,1
14087,../data/Buscas de palavras chaves/_Dispensa de licitação_/257.txt,54.426.628/0001-33,1
14108,../data/Buscas de palavras chaves/_Dispensa de licitação_/26.txt,34.407.806/0001-46,1
14115,../data/Buscas de palavras chaves/_Dispensa de licitação_/260.txt,19.946.998/0001-25,1
14129,../data/Buscas de palavras chaves/_Dispensa de licitação_/264.txt,15.363.151/0001-67,1
14136,../data/Buscas de palavras chaves/_Dispensa de licitação_/268.txt,02.223.923/0001-19,1
14185,../data/Buscas de palavras chaves/_Dispensa de licitação_/276.txt,17.713.959/0001-10,1
14190,../data/Buscas de palavras chaves/_Dispensa de licitação_/278.txt,02.091.365/0065-13,1
14222,../data/Buscas de palavras chaves/_Dispensa de licitação_/278.txt,19.049.456/0001-38,1
14335,../data/Buscas de palavras chaves/_Dispensa de licitação_/310.txt,20.092.287/0001-05,1
14356,../data/Buscas de palavras chaves/_Dispensa de licitação_/311.txt,08.274.413/0001-91,1
14369,../data/Buscas de palavras chaves/_Dispensa de licitação_/311.txt,27.484.316/0001-53,1
14437,../data/Buscas de palavras chaves/_Dispensa de licitação_/321.txt,17.504.502/0001-06,1
14523,../data/Buscas de palavras chaves/_Dispensa de licitação_/334.txt,30.852.358/0001-85,1
14550,../data/Buscas de palavras chaves/_Dispensa de licitação_/34.txt,43.942.258/0001-46,1
14608,../data/Buscas de palavras chaves/_Dispensa de licitação_/343.txt,02.520.829/0001-10,1
14612,../data/Buscas de palavras chaves/_Dispensa de licitação_/343.txt,05.919.156/0001-64,1
14681,../data/Buscas de palavras chaves/_Dispensa de licitação_/345.txt,01.803.618/0001-85,2
14703,../data/Buscas de palavras chaves/_Dispensa de licitação_/349.txt,36.970.685/0001-45,1
14791,../data/Buscas de palavras chaves/_Dispensa de licitação_/362.txt,11.320.039/0001-04,1
14802,../data/Buscas de palavras chaves/_Dispensa de licitação_/362.txt,32.364.729/0001-29,1
14808,../data/Buscas de palavras chaves/_Dispensa de licitação_/362.txt,75.039.590/0001-99,1
15809,../data/Buscas de palavras chaves/_Dispensa de licitação_/39.txt,00.148.007/0001-20,1
15840,../data/Buscas de palavras chaves/_Dispensa de licitação_/395.txt,14.432.557/0001-79,1
15868,../data/Buscas de palavras chaves/_Dispensa de licitação_/395.txt,79.716.613/0001-33,1
15918,../data/Buscas de palavras chaves/_Dispensa de licitação_/414.txt,17.496.083/0001-83,1
16037,../data/Buscas de palavras chaves/_Dispensa de licitação_/419.txt,26.371.080/0001-60,1
16093,../data/Buscas de palavras chaves/_Dispensa de licitação_/431.txt,30.286.804/0001-31,1
16484,../data/Buscas de palavras chaves/_Dispensa de licitação_/489.txt,01.490.870/0001-12,1
16486,../data/Buscas de palavras chaves/_Dispensa de licitação_/489.txt,02.141.324/5000-07,1
16488,../data/Buscas de palavras chaves/_Dispensa de licitação_/489.txt,05.496.511/0001-01,1
16500,../data/Buscas de palavras chaves/_Dispensa de licitação_/489.txt,15.363.151/0001-67,1
16507,../data/Buscas de palavras chaves/_Dispensa de licitação_/489.txt,24.695.513/0001-03,1
16637,../data/Buscas de palavras chaves/_Dispensa de licitação_/503.txt,84.304.179/0012-02,1
16654,../data/Buscas de palavras chaves/_Dispensa de licitação_/51.txt,02.022.520/0001-94,1
16684,../data/Buscas de palavras chaves/_Dispensa de licitação_/51.txt,10.332.226/0001-07,1
16751,../data/Buscas de palavras chaves/_Dispensa de licitação_/51.txt,33.803.347/0001-53,1
16907,../data/Buscas de palavras chaves/_Dispensa de licitação_/533.txt,01.107.391/0002-63,1
16915,../data/Buscas de palavras chaves/_Dispensa de licitação_/533.txt,13.169.156/0001-16,1
16947,../data/Buscas de palavras chaves/_Dispensa de licitação_/535.txt,06.164.446/0001-02,1
17104,../data/Buscas de palavras chaves/_Dispensa de licitação_/55.txt,36.215.108/0001-24,1
17130,../data/Buscas de palavras chaves/_Dispensa de licitação_/556.txt,32.948.017/0001-17,1
17184,../data/Buscas de palavras chaves/_Dispensa de licitação_/558.txt,26.245.666/0001-10,1
17209,../data/Buscas de palavras chaves/_Dispensa de licitação_/558.txt,35.864.462/0001-68,1
17217,../data/Buscas de palavras chaves/_Dispensa de licitação_/558.txt,36.399.627/0001-70,2
17225,../data/Buscas de palavras chaves/_Dispensa de licitação_/56.txt,35.573.762/0001-07,1
17266,../data/Buscas de palavras chaves/_Dispensa de licitação_/560.txt,34.235.146/0001-60,1
17336,../data/Buscas de palavras chaves/_Dispensa de licitação_/565.txt,00.740.969/0001-92,1
17950,../data/Buscas de palavras chaves/_Dispensa de licitação_/577.txt,20.636.623/0001-99,1
18156,../data/Buscas de palavras chaves/_Dispensa de licitação_/59.txt,50.720.412/2020-36,1
18224,../data/Buscas de palavras chaves/_Dispensa de licitação_/598.txt,46.723.926/2020-69,1
18287,../data/Buscas de palavras chaves/_Dispensa de licitação_/60.txt,12.968.901/0001-89,1
18312,../data/Buscas de palavras chaves/_Dispensa de licitação_/600.txt,21.933.197/0001-70,1
18319,../data/Buscas de palavras chaves/_Dispensa de licitação_/600.txt,28.509.384/0001-97,1
18388,../data/Buscas de palavras chaves/_Dispensa de licitação_/615.txt,10.571.872/0001-53,1
18473,../data/Buscas de palavras chaves/_Dispensa de licitação_/619.txt,00.924.195/0001-06,1
18605,../data/Buscas de palavras chaves/_Dispensa de licitação_/638.txt,09.076.351/0001-30,1
18676,../data/Buscas de palavras chaves/_Dispensa de licitação_/640.txt,24.506.677/0001-57,1
18691,../data/Buscas de palavras chaves/_Dispensa de licitação_/640.txt,50.856.251/0001-21,1
18714,../data/Buscas de palavras chaves/_Dispensa de licitação_/641.txt,07.450.732/0001-31,1
18755,../data/Buscas de palavras chaves/_Dispensa de licitação_/641.txt,28.055.226/0001-16,1
18792,../data/Buscas de palavras chaves/_Dispensa de licitação_/643.txt,09.309.692/0001-01,1
18793,../data/Buscas de palavras chaves/_Dispensa de licitação_/643.txt,09.442.157/0001-42,1
18794,../data/Buscas de palavras chaves/_Dispensa de licitação_/643.txt,10.277.789/0001-71,1
18804,../data/Buscas de palavras chaves/_Dispensa de licitação_/643.txt,20.789.197/0001-15,1
18808,../data/Buscas de palavras chaves/_Dispensa de licitação_/643.txt,22.460.120/0001-22,1
19058,../data/Buscas de palavras chaves/_Dispensa de licitação_/673.txt,11.041.059/0001-88,1
19163,../data/Buscas de palavras chaves/_Dispensa de licitação_/690.txt,09.400.433/0001-44,1
19164,../data/Buscas de palavras chaves/_Dispensa de licitação_/690.txt,09.428.831/0001-36,1
19275,../data/Buscas de palavras chaves/_Dispensa de licitação_/70.txt,02.849.983/0001-67,1
19281,../data/Buscas de palavras chaves/_Dispensa de licitação_/70.txt,03.231.206/0001-76,1
19288,../data/Buscas de palavras chaves/_Dispensa de licitação_/70.txt,04.067.191/0001-92,1
19336,../data/Buscas de palavras chaves/_Dispensa de licitação_/70.txt,10.824.341/0001-57,1
19355,../data/Buscas de palavras chaves/_Dispensa de licitação_/70.txt,13.235.732/0001-70,1
19358,../data/Buscas de palavras chaves/_Dispensa de licitação_/70.txt,13.585.696/0001-09,1
19427,../data/Buscas de palavras chaves/_Dispensa de licitação_/70.txt,29.612.189/0001-67,1
19440,../data/Buscas de palavras chaves/_Dispensa de licitação_/70.txt,40.617.276/0001-05,1
19566,../data/Buscas de palavras chaves/_Dispensa de licitação_/711.txt,09.494.737/0001-49,1
19597,../data/Buscas de palavras chaves/_Dispensa de licitação_/715.txt,04.211.082/0001-31,1
19709,../data/Buscas de palavras chaves/_Dispensa de licitação_/726.txt,18.117.764/0001-93,1
19754,../data/Buscas de palavras chaves/_Dispensa de licitação_/728.txt,19.682.663/0001-26,1
19760,../data/Buscas de palavras chaves/_Dispensa de licitação_/728.txt,27.165.182/0001-21,1
21568,../data/Buscas de palavras chaves/_Dispensa de licitação_/732.txt,07.199.118/0001-32,1
21572,../data/Buscas de palavras chaves/_Dispensa de licitação_/732.txt,09.930.287/0001-60,1
21756,../data/Buscas de palavras chaves/_Dispensa de licitação_/750.txt,00.502.233/0001-06,1
21758,../data/Buscas de palavras chaves/_Dispensa de licitação_/750.txt,15.154.314/0001-99,1
22003,../data/Buscas de palavras chaves/_Dispensa de licitação_/773.txt,09.442.157/0001-42,1
22005,../data/Buscas de palavras chaves/_Dispensa de licitação_/773.txt,10.277.789/0001-71,1
22135,../data/Buscas de palavras chaves/_Dispensa de licitação_/782.txt,10.942.931/0001-36,1
22272,../data/Buscas de palavras chaves/_Dispensa de licitação_/80.txt,00.162.137/2014-91,2
22345,../data/Buscas de palavras chaves/_Dispensa de licitação_/80.txt,31.089.522/0001-41,1
22717,../data/Buscas de palavras chaves/_Dispensa de licitação_/80.txt,44.133.819/0001-30,1
22718,../data/Buscas de palavras chaves/_Dispensa de licitação_/80.txt,45.229.153/0001-10,1
22872,../data/Buscas de palavras chaves/_Dispensa de licitação_/823.txt,20.414.780/0001-35,1
22899,../data/Buscas de palavras chaves/_Dispensa de licitação_/823.txt,30.681.365/0001-04,1
22903,../data/Buscas de palavras chaves/_Dispensa de licitação_/823.txt,32.962.698/0001-31,1
22909,../data/Buscas de palavras chaves/_Dispensa de licitação_/823.txt,36.390.358/0001-60,1
22997,../data/Buscas de palavras chaves/_Dispensa de licitação_/827.txt,33.453.589/0094-22,1
23048,../data/Buscas de palavras chaves/_Dispensa de licitação_/831.txt,02.326.629/0001-42,1
23105,../data/Buscas de palavras chaves/_Dispensa de licitação_/831.txt,32.041.741/0001-21,1
23139,../data/Buscas de palavras chaves/_Dispensa de licitação_/843.txt,02.728.618/0001-21,1
23358,../data/Buscas de palavras chaves/_Dispensa de licitação_/881.txt,21.343.472/0001-00,1
23386,../data/Buscas de palavras chaves/_Dispensa de licitação_/882.txt,14.884.711/0001-45,2
23397,../data/Buscas de palavras chaves/_Dispensa de licitação_/882.txt,27.165.182/0001-21,2
23462,../data/Buscas de palavras chaves/_Dispensa de licitação_/896.txt,62.729.178/0004-91,1
23481,../data/Buscas de palavras chaves/_Dispensa de licitação_/897.txt,04.255.426/0001-35,1
23593,../data/Buscas de palavras chaves/_Dispensa de licitação_/900.txt,20.992.487/0001-40,1
23621,../data/Buscas de palavras chaves/_Dispensa de licitação_/900.txt,93.399.400/0001-38,1
23636,../data/Buscas de palavras chaves/_Dispensa de licitação_/903.txt,12.063.197/0001-59,1
23676,../data/Buscas de palavras chaves/_Dispensa de licitação_/912.txt,16.941.580/0001-80,1
23687,../data/Buscas de palavras chaves/_Dispensa de licitação_/912.txt,27.167.745/0001-67,2
23788,../data/Buscas de palavras chaves/_Dispensa de licitação_/914.txt,33.936.618/0001-07,1
23825,../data/Buscas de palavras chaves/_Dispensa de licitação_/922.txt,00.881.181/0001-57,1
23869,../data/Buscas de palavras chaves/_Dispensa de licitação_/922.txt,36.215.108/0001-24,1
23884,../data/Buscas de palavras chaves/_Dispensa de licitação_/924.txt,62.729.178/0004-91,1
23904,../data/Buscas de palavras chaves/_Dispensa de licitação_/931.txt,01.149.308/0001-39,1
24046,../data/Buscas de palavras chaves/_Dispensa de licitação_/948.txt,02.070.598/0001-20,1
24051,../data/Buscas de palavras chaves/_Dispensa de licitação_/948.txt,11.772.824/0001-84,1
24147,../data/Buscas de palavras chaves/_Dispensa de licitação_/967.txt,14.667.969/0001-19,1
24228,../data/Buscas de palavras chaves/_Dispensa de licitação_/977.txt,21.993.497/0001-70,1
24255,../data/Buscas de palavras chaves/_Dispensa de licitação_/983.txt,07.722.566/0001-52,1
24276,../data/Buscas de palavras chaves/_Dispensa de licitação_/983.txt,27.165.182/0001-21,1
24282,../data/Buscas de palavras chaves/_Dispensa de licitação_/983.txt,30.681.365/0001-04,1
24291,../data/Buscas de palavras chaves/_Dispensa de licitação_/983.txt,36.287.959/0001-79,1
24433,../data/Buscas de palavras chaves/_Dispensa de licitação_/999.txt,06.044.486/0001-66,1
156,../data/Buscas de palavras chaves/_Hospital de Campanha_/1210.txt,09.649.306/0001-49,1
168,../data/Buscas de palavras chaves/_Hospital de Campanha_/1210.txt,14.866.880/0001-50,1
176,../data/Buscas de palavras chaves/_Hospital de Campanha_/1210.txt,19.244.814/0001-38,1
215,../data/Buscas de palavras chaves/_Hospital de Campanha_/1210.txt,60.085.055/0435-31,1
253,../data/Buscas de palavras chaves/_Hospital de Campanha_/1229.txt,11.615.369/0001-35,1
361,../data/Buscas de palavras chaves/_Hospital de Campanha_/1709.txt,03.718.824/0001-05,1
430,../data/Buscas de palavras chaves/_Hospital de Campanha_/1719.txt,24.506.677/0001-57,1
484,../data/Buscas de palavras chaves/_Hospital de Campanha_/1774.txt,25.265.954/0001-04,1
628,../data/Buscas de palavras chaves/_Hospital de Campanha_/1954.txt,17.460.096/0001-38,1
819,../data/Buscas de palavras chaves/_Hospital de Campanha_/60.txt,12.968.901/0001-89,1
870,../data/Buscas de palavras chaves/_Hospital de Campanha_/690.txt,09.400.433/0001-44,1
871,../data/Buscas de palavras chaves/_Hospital de Campanha_/690.txt,09.428.831/0001-36,1
982,../data/Buscas de palavras chaves/_Hospital de Campanha_/843.txt,02.728.618/0001-21,1
